Page,NGC,Type,1951.0+2304,Mag.,Size,Coord.,Description
,3245,G,LMi,11.2,1.8x.9,1027.3+2830,el round fuzzy uniform
,3277,G,LMi,12,1.1x.9,1032.9+2831,sp round brt nucleus
,3294,G,LMi,11.4,2.6x1.2,1036.3+3720,sp very difficult uniform brt
,3344,G,LMi,11,7.6x6.2,1043.5+2455,sp round faint near mag 9 star
,3395,G,LMi,12,1.5x.9,1049.8+3259,sp elus sl elong faint nucleus
,3414,G,LMi,11,1.4x1,1051.3+2719,Bsp starlike fuzzy nebulosity
,3432,G,LMi,11.4,5.8x.8,1052.5+3637,sp elongated uniform brt 2 stars
,3486,G,LMi,11,6.8x4.5,1100.4+2858,sp round faint fuzzy uniform
,3504,G,LMi,10.9,2.2x2.2,1103.2+2758,sp round very impressive
,2419,GC,Lyn,11.5,1.7,0738.1+3853,small dim stands out well
,2683,G,Lyn,9.6,8x13,0852.7+3325,sp edge-on pretty needle
,2782,G,Lyn,11.7,1.8x1.6,0914.1+4007,sp starlike some nebulosity
,2185,DN,Mon,11,2x2,0611.1-0613,brt fuzzy with NGC 2183 + 2184
,2215,OC,Mon,8.6,8,0621.0-0717,10 stars round faint a brt star
,2232,OC,Mon,4,20,0626.6-0445,naked eye brt stars one blue-white
,2244,OC,Mon,6.2,24,0632.4+0452,16 stars within Rosette Nebula
,2251,OC,Mon,8.5,10,0634.7+0822,30 stars lg flat in appearance
,2264,OC,Mon,4.7,30,0641.1+0953,20 stars loose poor DN nebulosit
,2286,OC,Mon,8,15,0647.6-0310,50 stars loose scattered
,2301,OC,Mon,5.8,15,0651.8+0028,40 stars large pretty easy
,2311,OC,Mon,9.6,7,0657.8-0435,25 stars brt rich easy resolvabl
,2324,OC,Mon,8.8,9,0704.2+0103,30 stars 5 stars = a  Y loose
,2335,OC,Mon,9.1,12,0706.6-1005,35 stars triangular tight group
,2343,OC,Mon,8,7,0708.3-1039,15 stars brt rich tight cute
,2353,OC,Mon,5.3,20,0714.6-1018,25 stars loose 1 bl/wh  easy
,2506,OC,Mon,8.5,10,0800.2-1047,50 stars rich nebulousity easy
,6171,GC,Oph,9.2,2.2,1632.5-1303,M107
,6235,GC,Oph,10.4,1.9,1653.4-2211,faint no distinct nucleus diff.
,6284,GC,Oph,10.5,1.5,1704.5-2446,easy round fairly bright small
,6287,GC,Oph,9.9,1.7,1705.2-2242,circular brt nucleus no resolve
,6293,GC,Oph,9.5,1.9,1710.2-2635,easy circular small brt nucleus
,6304,GC,Oph,9.8,1.6,1714.5-2928,circular brt nucleus no resolve
,6316,GC,Oph,10,1.1,1716.6-2808,oval small bright
,6342,GC,Oph,10,0.5,1721.2-1935,small faint central area brt
,6355,GC,Oph,10.5,1,1724.0-2621,circular elus extremely faint
,6356,GC,Oph,9.5,1.7,1723.6-1749,fairly large brt nucleus no reso
,6369,PN,Oph,9.9,28,1729.3-2346,round blue-green Pipe Nebula
,6401,GC,Oph,11,1,1738.6-2355,brt circular no resolution
,6426,GC,Oph,11.5,1.3,1744.9+0300,faint elus resembles a nebula
,6517,GC,Oph,10.5,0.4,1801.8-0858,faint elus brt central area
,6633,OC,Oph,5.5,20,1827.7+0634,44 stars rich resolv. a red star
,1788,DN,Ori,11,8x5,0506.9-0321,round non uniform near 8 magstar
,1980,OC,Ori,0,14x14,0535.4-0554,surround iota Orionis nebulosity
,1999,DN,Ori,10,16x12,0536.5-0642,brt nucleus hazy lg difficult
,2022,PN,Ori,11.5,28x27,0542.1+0905,fuzzy oval small slight blue-gr
,2024,DN,Ori,10.7,30x30,0541.9-0151,irregular patchy brt very large
,2169,OC,Ori,6.4,5,0608.4+1357,15 stars brt tightly grouped
,2186,OC,Ori,9.5,5,0612.2+0527,30 stars loose poor some brt
,2194,OC,Ori,9.2,8,0613.8+1248,rich slightly circular resolve
2,7217,G,Peg,10.2,2.6x2.3,2207.9+3122,sp round
1,7331,G,Peg,9.7,10x2,2237.1+3425,sp faint edge on
,7448,G,Peg,11.2,2x1,2300.1+1559,sp elongated averted vision
2,7479,G,Peg,11.6,3.4x2.6,2304.9+1219,Bsp slightly elongated elusive
3,651,PN,Per,11,157x87,0142.3+5134,M76
3,869,OC,Per,4.4,36,0219.0+5709,Double Cluster  resolvable
3,884,OC,Per,4.7,36,0222.4+5707,Double Cluster  resolvable
6,1023,G,Per,10.5,4x1.2,0240.3+3904,el elonated brt starlike nucl
6,1245,OC,Per,6.9,10,0314.7+4715,40 stars large 5 brt stars elus
7,1342,OC,Per,7.1,15,0331.6+3720,25 stars sl elongated poorish
8,1444,OC,Per,6.4,4,0349.4+5240,15 stars string of brt stars
7,1513,OC,Per,8.8,12,0410.0+4931,40 stars loose compact nucleus
7,1528,OC,Per,6.2,25,0415.4+5114,80 stars loosely packed rich
7,1545,OC,Per,8,18,0420.9+5015,25 stars loose 2 brt starswh org
,488,G,Psc,10.3,4.2x3.3,0121.8+0515,sp circular brt nucleus
,524,G,Psc,10.6,3.2,0124.8+0932,el small round  brt nucleus
,2421,OC,Pup,9.4,8,0736.3-2037,50 stars no shape lg fairly rich
,2422,OC,Pup,4.5,25,0736.6-1430,M47
,2423,OC,Pup,6.9,20,0737.1-1352,60 stars lg brt stars easy
,2438,PN,Pup,11.3,68,0741.8-1444,brt obvious circular within M46
,2440,PN,Pup,11.5,54x20,0741.9-1813,greenish round easy to find
,2479,OC,Pup,9.5,8,0755.1-1743,40 stars faint round small easy
,2482,OC,Pup,8.7,18,0754.9-2418,50 stars lg rich no shape
